הכלי,קישור לתוצר,כותרת,תיאור/פרומפט/מידע,קרדיט - מי היוצר?,מי תרם למאגר,דירוג
וובסים Websim,https://websim.ai/@Kirgas/Prophets,מפגש עם נביאים - חידות,"מעוצב ומאתגר, מסע בין יותר מ20 נביאים בתנ""ך",STDB,חפציה,4
וובסים Websim,https://websim.ai/p/a3e3ny43tvy8udqm9pa4/5,יוצר סיפורים לפודקאסט,"כלי ליצירת עלילה וחלקי דיבור, כולל פרומפטים מדוייקים לכלי טקסט לדיבור, שמאפשר להרכיב את החלקים לפודקאסט שלם.",שרון מרגולין,חפציה,5
למון סלייס Lemon Slice,https://youtu.be/s5RyTVx5Pa0?si=eg-EeGD_PzfxH1EL,החלפת סיסמאות הזדהות אחידה - עם דמות מדובבת,"סרטון עם דמות שמסבירה מה השתנה בהזדהות האחידה, מונפשת באמצעות למון סלייס",חפציה בן ארצי,חפציה,5
וובסים Websim,https://websim.ai/@chepti/websims/,מאגר הוובסימים הגדול,"וובסים שהוא אוסף של וובסימס שנוצרו ע""י מורים, רובם בעברית. תקלה עם התצוגה המקדימה של התמונות",חפציה וכמובן מורים נוספים - קרדיט בכל פריט,חפציה,5
מג'יק סקול,https://www.youtube.com/watch?v=rECV-0MKLgw,איך השתמשתי בכיתה בבוט הכנה למבחן,סרטון,חפציה בן ארצי,,4
