הכלי,כותרת ההדרכה,פורמט,קישור להדרכה,מידע נוסף,קרדיט - מי היוצר?,מי תרם למאגר,דירוג ההדרכה
למון סלייס Lemon Slice,עבודה עם אינפיניטי - למון סלייס,סרטון,https://youtu.be/Fct7r3m2FeE?si=O53Nqiar28dzGmGE,הסבר כיצד לעבוד עם הממשק. מעט השתנה מאז,חפציה בן ארצי,חפציה,4
מג'יק סקול,מג’יק סקול יוצר טופס חי,סרטון,https://youtu.be/YBvdYsqkkGk?si=Kr7B5WeL3hZy6sZW,,חפציה בן ארצי,חפציה,4
מוראי MorAI,מה זה מוראי,סרטון,https://youtu.be/YBvdYsqkkGk?si=Kr7B5WeL3hZy6sZW,סקירה על יכולות הכלי ואיך לעבוד איתו,חפציה בן ארצי,חפציה,4
וובסים Websim,קורס כוורת ללמידה עצמאית,קורס כוורת עם גמול,https://hakaveret.education.gov.il/course/view.php?id=8342,"למידה עצמאית בהיקף 3 שעות על וובסים, עם דוגמאות למיחזור וםירוט שלב אחר שלב","חפציה בן ארצי, צוות מט""ח",חפציה,5
רב REVE,רב מחולל תמונות חדש,סרטון,https://youtu.be/wU__O0_R6yw,"סקירת הממשק, יכולות מיוחדות.",חפציה בן ארצי,,5
